thermoreg_reading,enzyme_activity_index,dual_lobe_signal,stress_variability,habitat_zone,activity_score,fasting_flag,health_outcome,station_code,diagnostic_noise
52.6,97.0,3.6,-3.5,C2,2.0,0.0,1,Z-WHH,0.48209
41.8,105.0,3.4,10.5,C1,2.0,0.0,0,Z-EAT,
56.2,126.0,5.5,9.6,C2,5.0,0.0,0,Z-IPF,-0.74735
57.7,106.0,-4.1,-4.0,C1,4.0,0.0,1,Z-FKO,0.57048
34.5,73.0,2.3,0.3,C4,5.0,1.0,1,Z-SVY,-0.31084
39.7,69.0,-1.2,5.1,C4,2.0,1.0,0,Z-WAH,1.41691
51.2,94.0,-1.7,3.8,C2,3.0,1.0,1,Z-YDK,-1.34719
47.6,113.0,0.4,-4.4,C5,3.0,1.0,1,Z-SFR,-0.55448
50.0,80.0,-2.6,,C3,,1.0,0,Z-DCX,-0.82019
43.3,71.0,0.4,-2.0,C4,3.0,1.0,0,Z-DJJ,0.28067
57.2,70.0,-2.5,-4.9,C4,2.0,1.0,1,Z-COP,-0.70047
56.4,128.0,3.5,0.8,C1,1.0,0.0,1,Z-HNJ,0.93062
50.7,93.0,2.1,-0.2,C4,5.0,0.0,1,Z-HUU,1.83824
59.2,82.0,0.2,-0.6,C1,5.0,1.0,1,Z-HJU,-0.04918
53.9,129.0,,-1.8,C5,4.0,0.0,1,Z-TLX,0.42459
,86.0,3.1,7.2,C2,2.0,0.0,0,Z-CFZ,-0.5574
53.1,84.0,4.3,-1.3,C3,,0.0,0,Z-FWA,1.10435
42.5,110.0,3.9,5.9,C1,2.0,0.0,1,Z-VTZ,-0.83517
57.2,102.0,5.5,-1.3,C1,5.0,1.0,1,Z-TCA,-0.14318
49.8,56.0,1.0,0.2,C1,2.0,1.0,1,Z-HIH,0.44343
48.7,122.0,1.8,4.4,C1,,1.0,0,Z-NGD,-0.99985
,67.0,0.5,1.2,C2,4.0,1.0,0,Z-OJP,0.69497
,197.0,3.5,0.1,C1,3.0,1.0,0,Z-VDL,-0.20526
48.9,85.0,-2.2,-2.3,C5,4.0,0.0,1,Z-JFF,0.31945
46.7,39.0,2.4,7.5,C4,3.0,0.0,1,Z-KML,-0.36748
,141.0,4.9,0.2,C2,3.0,1.0,0,Z-BBE,-1.22933
54.4,105.0,7.9,7.8,C4,5.0,,0,Z-BIV,0.65729
53.1,111.0,4.6,,C2,2.0,0.0,0,Z-ATF,0.1755
53.5,115.0,0.5,-2.8,C5,1.0,1.0,1,Z-PXQ,0.1509
53.6,68.0,-1.8,4.2,C3,3.0,1.0,1,Z-SLT,-0.37121
,69.0,1.5,8.5,C3,3.0,0.0,0,Z-LNK,0.52878
46.9,146.0,2.2,4.9,C1,3.0,0.0,0,Z-QOT,-0.4278
46.1,50.0,1.4,,C3,3.0,0.0,0,Z-ZUZ,0.16858
43.6,132.0,-0.3,-9.2,C3,3.0,,0,Z-MWL,1.59571
55.1,121.0,3.0,-4.6,C1,3.0,0.0,1,Z-NKJ,-0.36918
59.2,119.0,5.0,2.4,C1,5.0,0.0,0,Z-EWI,0.43377
49.2,85.0,5.7,0.6,C4,1.0,1.0,1,Z-WYR,-0.41525
43.4,150.0,2.8,3.5,C5,5.0,1.0,1,Z-IPH,0.30335
43.6,69.0,5.9,-8.5,C3,3.0,1.0,0,Z-SBY,-0.22039
55.4,90.0,-0.7,0.4,C1,1.0,1.0,1,Z-NYI,0.76556
56.1,127.0,,-2.6,C2,1.0,1.0,1,,-0.60071
54.5,88.0,-1.6,-5.3,,3.0,0.0,1,Z-FOV,-0.36464
44.8,63.0,6.8,12.4,,4.0,0.0,0,Z-HHV,1.58837
52.0,101.0,0.0,-2.9,C1,3.0,0.0,1,Z-OWK,0.17707
51.1,119.0,4.7,-4.3,C1,3.0,1.0,1,Z-ECS,1.75022
51.9,,5.7,5.3,C2,2.0,0.0,0,Z-VMF,
57.1,167.0,4.7,4.1,C3,3.0,1.0,0,Z-XNJ,-1.07306
,54.0,3.3,0.5,C4,5.0,1.0,1,Z-EGV,-0.05522
55.6,305.0,3.1,11.0,C2,3.0,0.0,0,Z-RCG,0.39471
50.7,73.0,5.8,4.4,C1,4.0,0.0,1,Z-YME,-0.20899
52.5,78.0,-1.0,1.8,C1,1.0,1.0,1,Z-IXB,-1.38113
55.2,93.0,-4.4,-4.1,C3,3.0,0.0,1,Z-NEY,-1.67891
38.5,63.0,3.7,7.1,C1,4.0,0.0,1,Z-TGM,1.7412
47.6,66.0,4.8,1.2,C3,4.0,0.0,0,Z-ZJK,-0.81036
46.4,30.0,-2.6,-8.4,C2,3.0,0.0,0,Z-DLW,0.46085
45.0,129.0,2.3,3.6,C2,3.0,0.0,0,Z-ZFU,0.92193
48.0,120.0,-2.0,-2.1,C1,1.0,1.0,1,Z-YEO,0.85753
62.1,119.0,4.1,5.3,C4,2.0,0.0,0,Z-BLN,-3.14904
,61.0,4.9,0.1,C3,4.0,0.0,0,Z-WMR,-1.59657
,,2.6,,C2,4.0,1.0,0,,-1.36275
36.7,75.0,-2.3,-10.4,C2,1.0,0.0,0,Z-UPN,0.53754
47.5,79.0,6.6,2.1,C2,5.0,0.0,0,Z-GLR,-0.54715
51.5,57.0,2.0,,C2,5.0,0.0,1,Z-SBP,-1.32618
54.9,121.0,0.5,1.0,C4,2.0,1.0,1,Z-QOP,0.53822
55.9,100.0,5.1,0.8,C2,1.0,,1,Z-BIG,0.69703
56.5,117.0,3.7,-4.2,C1,2.0,0.0,1,Z-XZY,-0.01141
47.4,99.0,-1.7,-5.5,C5,5.0,1.0,1,Z-QAQ,-1.40451
46.5,110.0,6.7,6.8,C2,3.0,0.0,0,Z-LZO,0.26886
57.0,116.0,3.2,1.8,C1,2.0,0.0,0,Z-CKO,-0.93786
48.6,88.0,4.2,-1.1,C1,5.0,1.0,1,Z-QRO,-0.20712
39.9,,3.3,4.9,C2,1.0,1.0,0,Z-KJO,
41.1,109.0,4.1,8.6,C3,5.0,0.0,0,Z-RLU,0.14585
42.8,128.0,4.1,5.8,C5,4.0,0.0,1,Z-QXU,-0.27688
54.1,76.0,-2.0,-13.2,C1,2.0,0.0,0,Z-ETM,-0.13782
51.3,131.0,3.1,2.2,C2,4.0,0.0,0,Z-OZZ,0.59693
55.7,66.0,4.0,,C1,4.0,0.0,1,Z-LXJ,0.07139
46.7,121.0,-0.8,-11.0,C2,3.0,0.0,0,Z-VMW,-2.5277
51.4,85.0,0.4,-6.7,C3,4.0,0.0,0,Z-HRQ,-0.83193
55.2,130.0,3.5,,C1,3.0,0.0,0,Z-HUN,-0.04298
47.7,135.0,4.6,3.2,C5,4.0,,1,Z-MEL,0.98011
53.8,111.0,,1.3,C1,4.0,0.0,1,Z-GVP,-0.55581
44.9,90.0,2.7,-2.0,C3,5.0,0.0,0,Z-TPE,-0.64509
47.3,93.0,-3.6,-0.2,C3,4.0,0.0,1,Z-VSZ,0.39882
47.1,83.0,2.8,-4.3,C2,5.0,0.0,0,Z-DMP,-1.11513
40.6,115.0,3.6,-2.2,C4,2.0,1.0,1,Z-MEQ,0.58529
54.1,104.0,0.0,-2.9,C3,2.0,0.0,0,Z-OXJ,-0.67203
46.4,35.0,5.3,-3.4,C3,3.0,0.0,0,Z-ZLC,0.14294
50.3,124.0,3.0,-2.7,C2,2.0,1.0,0,Z-NRN,0.29332
54.0,129.0,1.1,3.9,C3,5.0,1.0,0,,0.35565
53.7,108.0,3.6,-2.0,C1,2.0,1.0,1,Z-KZV,1.05846
55.5,88.0,2.2,3.6,C3,3.0,0.0,1,Z-BWW,
49.4,,0.4,1.4,,3.0,0.0,1,Z-VBZ,-0.79277
46.8,74.0,,-3.2,C3,5.0,1.0,0,Z-UPG,-0.01493
49.5,105.0,,-7.1,C4,2.0,1.0,0,Z-JSZ,2.08015
36.7,28.0,-4.5,-5.3,C5,5.0,1.0,0,Z-CYD,1.04203
38.6,92.0,3.6,-7.4,C1,2.0,0.0,0,Z-UFC,-0.98776
39.6,85.0,,-3.9,C3,2.0,0.0,0,Z-BNC,-1.25252
42.2,122.0,4.3,3.2,C4,2.0,,1,Z-BMX,-0.20832
53.4,125.0,6.8,,C1,5.0,1.0,0,Z-AGG,-1.45365
42.9,69.0,-2.8,-4.7,C1,2.0,0.0,0,Z-LVZ,-1.31038
47.1,50.0,0.1,-4.1,C1,1.0,0.0,0,Z-TYQ,1.08191
60.6,96.0,,-2.3,C4,2.0,1.0,1,Z-CZK,1.02496
